date,frequency,rate
2022-01-01 00:00:00,153357743.0,6.15
2022-01-02 00:00:00,161880469.0,6.053
2022-01-03 00:00:00,169773375.0,6.034
2022-01-04 00:00:00,172208177.0,6.014
2022-01-05 00:00:00,181196294.0,5.987
2022-01-06 00:00:00,180295617.0,5.988
2022-01-07 00:00:00,177795631.0,6.007
2022-01-08 00:00:00,185256975.0,6.092
2022-01-09 00:00:00,180451731.0,6.038
2022-01-10 00:00:00,179885363.0,6.029
2022-01-11 00:00:00,183241785.0,6.027
2022-01-12 00:00:00,182207357.0,6.025
2022-01-13 00:00:00,185494055.0,6.018
2022-01-14 00:00:00,185591766.0,6.02
2022-01-15 00:00:00,176011078.0,6.044
2022-01-16 00:00:00,180194460.0,6.032
2022-01-17 00:00:00,179645855.0,6.048
2022-01-18 00:00:00,192682125.0,6.025
2022-01-19 00:00:00,189731801.0,6.033
2022-01-20 00:00:00,192563820.0,6.063
2022-01-21 00:00:00,186233168.0,6.059
2022-01-22 00:00:00,189153592.0,6.082
2022-01-23 00:00:00,190901623.0,6.091
2022-01-24 00:00:00,187594255.0,6.059
2022-01-25 00:00:00,190854644.0,6.063
2022-01-26 00:00:00,190290374.0,6.072
2022-01-27 00:00:00,191587681.0,6.065
2022-01-28 00:00:00,180791003.0,6.054
2022-01-29 00:00:00,183322719.0,6.089
2022-01-30 00:00:00,189105931.0,6.087
2022-01-31 00:00:00,196726752.0,6.08
2022-02-03 00:00:00,181038070.0,6.042
2022-02-04 00:00:00,185817075.0,6.054
2022-02-05 00:00:00,173535555.0,6.048
2022-02-06 00:00:00,171306887.0,6.047
2022-02-07 00:00:00,183256895.0,6.045
2022-02-08 00:00:00,189617429.0,6.059
2022-02-09 00:00:00,190061228.0,6.057
2022-02-10 00:00:00,189126206.0,6.061
2022-02-11 00:00:00,175379431.0,6.074
2022-02-12 00:00:00,165476523.0,6.082
2022-02-01 00:00:00,185232091.0,6.081
2022-02-02 00:00:00,179107687.0,6.066
2022-02-13 00:00:00,180445772.0,6.119
2022-02-14 00:00:00,181807768.0,6.147
2022-02-15 00:00:00,180519895.0,6.064
2022-02-16 00:00:00,179032671.0,6.057
2022-02-17 00:00:00,181343917.0,6.069
2022-02-18 00:00:00,177576191.0,6.052
2022-02-19 00:00:00,168087245.0,6.06
2022-02-20 00:00:00,170506846.0,6.07
2022-02-21 00:00:00,177906241.0,6.049
2022-02-22 00:00:00,185288275.0,6.056
2022-02-23 00:00:00,193045044.0,6.033
2022-02-25 00:00:00,194217075.0,5.969
2022-02-26 00:00:00,196617785.0,5.978
2022-02-27 00:00:00,194166872.0,5.959
2022-02-28 00:00:00,191301690.0,5.981
2022-03-01 00:00:00,198570103.0,5.98
2022-03-02 00:00:00,194897325.0,5.985
2022-03-03 00:00:00,186531049.0,5.991
2022-03-04 00:00:00,177753263.0,5.997
2022-03-05 00:00:00,165714752.0,6.015
2022-03-06 00:00:00,170724711.0,6.008
2022-03-07 00:00:00,176378029.0,6.005
2022-03-08 00:00:00,189056748.0,6.051
2022-02-24 00:00:00,208612108.0,5.895
2022-03-09 00:00:00,185745745.0,6.009
2022-03-10 00:00:00,185883456.0,6.015
2022-03-11 00:00:00,174092595.0,6.022
2022-03-12 00:00:00,163775321.0,6.045
2022-03-13 00:00:00,174601525.0,6.038
2022-03-14 00:00:00,183759220.0,6.041
2022-03-15 00:00:00,183744246.0,6.037
2022-03-16 00:00:00,184083374.0,6.029
2022-03-17 00:00:00,180444977.0,6.054
2022-03-18 00:00:00,179532780.0,6.057
2022-03-19 00:00:00,166512101.0,6.047
2022-03-20 00:00:00,168032425.0,6.04
2022-03-21 00:00:00,178995916.0,6.044
2022-03-22 00:00:00,181868300.0,6.045
2022-03-23 00:00:00,187629816.0,6.033
2022-03-24 00:00:00,184119087.0,6.036
2022-03-25 00:00:00,179778063.0,6.06
2022-03-26 00:00:00,164532210.0,6.073
2022-03-27 00:00:00,172026416.0,6.056
2022-03-28 00:00:00,195065236.0,6.018
2022-03-29 00:00:00,187040417.0,6.028
2022-03-30 00:00:00,183136980.0,6.029
2022-03-31 00:00:00,179268859.0,6.057
2022-04-01 00:00:00,172177424.0,6.066
2022-04-02 00:00:00,164544201.0,6.054
2022-04-03 00:00:00,187993632.0,6.049
2022-04-04 00:00:00,187714941.0,6.045
2022-04-05 00:00:00,187128551.0,6.055
2022-04-06 00:00:00,183301400.0,6.04
2022-04-07 00:00:00,185554680.0,6.053
2022-04-08 00:00:00,183125978.0,6.058
2022-04-09 00:00:00,182103995.0,6.04
2022-04-10 00:00:00,173262984.0,6.051
2022-04-11 00:00:00,178900337.0,6.03
2022-04-12 00:00:00,187556903.0,6.002
2022-04-13 00:00:00,185999690.0,6.014
2022-04-14 00:00:00,184333716.0,6.03
2022-04-15 00:00:00,173829957.0,6.04
2022-04-16 00:00:00,167486955.0,6.061
2022-04-17 00:00:00,167189699.0,6.078
2022-04-18 00:00:00,176940342.0,6.042
2022-04-19 00:00:00,184850557.0,6.039
2022-04-20 00:00:00,185563324.0,6.04
2022-04-21 00:00:00,183947865.0,6.044
2022-04-22 00:00:00,179264893.0,6.069
2022-04-23 00:00:00,166435775.0,6.077
2022-04-24 00:00:00,167660342.0,6.076
2022-04-25 00:00:00,185898172.0,6.065
2022-04-26 00:00:00,188043837.0,6.056
2022-04-27 00:00:00,186786372.0,6.052
2022-04-28 00:00:00,186939776.0,6.051
2022-04-29 00:00:00,180590792.0,6.069
2022-04-30 00:00:00,162640626.0,6.091
2022-05-01 00:00:00,160879616.0,6.086
2022-05-02 00:00:00,177367462.0,6.043
2022-05-04 00:00:00,194108014.0,6.015
2022-05-05 00:00:00,185803093.0,6.026
2022-05-06 00:00:00,179498088.0,6.044
2022-05-07 00:00:00,165065522.0,6.054
2022-05-03 00:00:00,198776618.0,5.983
2022-05-08 00:00:00,164292168.0,6.077
2022-05-09 00:00:00,193100119.0,6.013
2022-05-10 00:00:00,187958641.0,6.015
2022-05-11 00:00:00,185075810.0,6.001
2022-05-12 00:00:00,184503921.0,6.009
2022-05-13 00:00:00,180513796.0,6.011
2022-05-14 00:00:00,168694969.0,6.011
2022-05-15 00:00:00,172474595.0,6.009
2022-05-16 00:00:00,181638305.0,6.033
2022-05-17 00:00:00,132186831.0,6.029
2022-05-18 00:00:00,178510611.0,6.036
2022-05-19 00:00:00,177211514.0,6.044
2022-05-20 00:00:00,174062478.0,6.065
2022-05-21 00:00:00,160669392.0,6.048
2022-05-22 00:00:00,159625297.0,6.054
2022-05-23 00:00:00,170871470.0,6.043
2022-05-24 00:00:00,193848871.0,5.941
2022-05-25 00:00:00,208624917.0,5.893
2022-05-26 00:00:00,196898778.0,5.953
2022-05-27 00:00:00,186088800.0,5.986
2022-05-28 00:00:00,165774153.0,6.011
2022-05-29 00:00:00,156538289.0,6.013
2022-05-30 00:00:00,158643940.0,6.037
2022-05-31 00:00:00,173248547.0,6.027
2022-06-01 00:00:00,179149270.0,6.035
2022-06-02 00:00:00,176526481.0,6.016
2022-06-03 00:00:00,169077358.0,6.031
2022-06-04 00:00:00,153371606.0,6.046
2022-06-05 00:00:00,165787062.0,6.013
